time,TRGW-0-2-15,TRGW-0-2-9,TRGW-0-3-8,TRGW-0-9-1,TRGW-0-13-10,TRGW-0-15-16,TRGW-0-21-10,TRGW-0-22-15,TRGW-0-24-4,TRGW-0-26-6,TRGW-0-29-15,TRGW-0-33-7,TRGW-0-34-10
3652.5,59.483267446940474,59.569490741538544,59.721943488314274,65.79033043862663,57.04109952006263,56.39279341209552,54.93438087370642,54.34721831951342,54.43475609304759,53.78131931963989,52.270454555472504,51.51031300658023,51.0241411934911
3683.5,59.45634674966288,59.59501957301814,59.63594986886267,65.8395549622912,56.9280254938774,56.35752462346289,54.827628639205145,54.30203153097933,54.38490513656639,53.70773051658404,52.189113994984254,51.52870538497114,50.990412086740925
3712.5,59.6101570530222,59.653629945677864,59.6885490155879,65.97253054672609,57.00048169762553,56.26721270089538,54.7408939975158,54.19323174153282,54.378829933268285,53.64826144991231,52.18268090036245,51.6526996170265,50.78503963605948
3743.5,59.662572769277304,59.77606989925028,59.77043809594781,65.91420627505747,56.95843165419258,56.286453436391334,54.75449942249037,54.142874766913465,54.42713928704797,53.62029039073133,52.248461755802424,51.54286782751063,50.85640426675547
3773.5,59.66758374002647,59.864785786390414,59.95693181629861,65.96056285829346,56.92995990691477,56.357505330699,54.741761270807764,54.31781370384854,54.46830930373084,53.69054157436175,52.23419194428877,51.53823240475325,50.8754780535805
3804.5,59.656968484614545,59.903651801222566,59.98752508019735,65.94372003259424,56.970426646084825,56.46246609423054,54.7663651737825,54.35721170798412,54.549038858978555,53.72636169096882,52.24964312579812,51.4923900011714,50.81506452525795
3834.5,59.71544101226977,59.86977881120862,59.96469028398258,65.9650600960787,56.908372689402555,56.24627884828514,54.6551634998698,54.20661493296297,54.42957773481756,53.61189112438537,52.23586536902052,51.35368187907744,50.790177261622
3865.5,59.63333259332298,59.82218665935766,59.801441305641845,65.81806445077498,56.81223628501815,56.176641613105865,54.52405926617916,54.14908674572238,54.17886767424412,53.457443627092694,52.063518674695985,51.26683407600621,50.696087602664704
3896.5,59.3322107159182,59.59746418565732,59.61479237598744,65.72745893178624,56.68133429983205,56.0654834706521,54.37796008409081,53.8730784764428,54.01776313174727,53.194410665359996,51.947866974776375,51.061914460772286,50.474012752378385
3926.5,59.10813181859674,59.350749337919815,59.42943989761194,65.73380627069095,56.400427124574506,55.793904917395494,54.15295521106037,53.72122159201643,53.7855905052589,52.97221662557597,51.71458534403607,50.82218431594884,50.329673788246374
3957.5,58.906583620479616,59.081529377922145,59.14636599642262,65.7034132472651,56.12507491739894,55.63303088173764,53.99590743242437,53.52016275624996,53.55217282359235,52.64571814400645,51.622283034315096,50.6433367298527,50.07047910874388
